Molecule,Lowest_Total_Energy,True_minimum_count,Multiple_minimum_count,Saddle_point_count,Conformers_within_1kcal,Conformers_within_3kcal,Conformers_within_5kcal
e1,5.661,3,0,0,1,2,3
e2,5.32,3,0,0,1,1,1
e3,-10.075,2,0,0,1,2,2
e4,-10.07,2,0,0,1,2,2
e5,-10.075,2,0,0,1,2,2
e6,1.342,28,0,0,3,15,26
e7,-1.875,19,0,0,4,12,17
e8,1.813,27,0,0,4,10,18
e9,20.397,95,0,0,3,19,53
e10,7.441,12,0,0,3,4,9
e11,-5.934,19,0,0,2,5,12
e12,33.781,10,0,0,3,6,10
e13,5.41,3,0,0,2,3,3
e14,8.294,8,0,0,2,4,6
e15,7.935,38,0,0,5,17,28
e16,6.07,26,0,0,2,8,21
e17,6.324,43,0,0,6,19,34
e18,5.413,3,0,0,2,3,3
e19,-7.077,27,0,0,4,9,17
e20,-5.937,19,0,0,2,5,12
e21,-5.934,19,0,0,2,5,12
e22,2.103,12,0,0,3,4,7
e23,1.365,62,0,0,7,24,47
e24,-8.182,13,0,0,3,6,12
e25,-11.697,9,0,0,3,3,5
e26,-1.607,112,0,0,5,30,84
e27,-10.92,51,0,0,4,10,34
e28,5.409,93,0,0,12,38,65
e29,-5.902,12,0,0,1,5,8
e30,2.359,6,0,0,2,4,6
e31,2.359,6,0,0,2,4,6
e32,3.59,14,0,0,4,6,11
e33,4.904,131,0,0,5,30,93
e34,0.436,256,0,0,9,48,171
e35,2.173,383,0,0,15,123,311
e36,39.071,591,0,3,19,194,511
e37,65.56,259,0,0,4,56,183
